"speed","rr","lin","distance","timeper","cat","grpsize","calf","behav","count","id","timeofday","behav2","vessels"
4.370674115,52.22069835,0.584139671,201.4354038,0.6,"Trawler",5,0,"FSB",2,415033,"mid-day","Foraging","Present"
3.205276318,24.27390745,0.804922624,216.3865303,0.6,"Trawler",5,0,"FSB",1,415034,"mid-day","Foraging","Present"
3.573179678,34.09523772,0.706408942,192.5631282,0.6,"TT",3,0,"Social",2,415034,"mid-day","RST","Present"
2.37439253,33.30587067,0.114867967,256.6564588,0.4,"Small",1,0,"Forage",1,415043,"mid-day","Foraging","Present"
1.502244866,51.95505104,0.093654726,163.1244308,0.5,"TT",6,1,"FSB",5,415044,"mid-day","Foraging","Present"
2.558420856,33.77802983,0.332876128,174.13942,0.5,"TT",2,0,"FSB",4,415044,"mid-day","Foraging","Present"
3.069914897,13.13575123,0.976059474,81.04575021,0.4,"TT",8,0,"FSB",2,415044,"mid-day","Foraging","Present"
3.361374682,7.551083053,0.990345095,153.7508664,0.4,"TT",8,0,"FSB",1,415044,"mid-day","Foraging","Present"
5.561142117,17.93882561,0.942133743,155.8332382,0.5,"Trawler",6,0,"FSB",3,415044,"mid-day","Foraging","Present"
0.492749666,72.2030902,0.542032722,120.0293027,0.6,"Mid",1,0,"Forage",1,415045,"mid-day","Foraging","Present"
2.835005212,3.724575562,0.981627184,199.497626,0.6,"Small",3,0,"Rest",1,415048,"mid-day","RST","Present"
2.407757023,12.38977222,0.965664218,221.7905311,0.2,"Trawler",4,1,"FSB",1,415071,"morning","Foraging","Present"
3.374905451,8.639977568,0.989735623,179.3762246,0.2,"Trawler",2,0,"FSB",1,415072,"morning","Foraging","Present"
3.498845701,22.73039397,0.089934626,208.9719915,0.2,"Trawler",5,1,"FSB",1,415073,"morning","Foraging","Present"
1.006409594,35.91175357,0.112520424,67.9893498,0.9,"None",1,0,"Travel",1,4143610,"afternoon","RST","Absent"
0.828091967,91.04626392,0.298821468,68.83245636,0.6,"None",4,0,"Social",3,4143810,"mid-day","RST","Absent"
0.945143273,55.52972935,0.092205642,66.65415346,0.5,"None",4,0,"Social",1,4143810,"mid-day","RST","Absent"
